1,l,2626
1,l,2189
1,l,3064
1,l,1970
1,l,2407
1,l,2845
1,l,3282
1,l,1860
1,l,2079
1,l,2298
1,l,2517
1,l,2735
1,l,2954
1,l,3173
1,l,3392
1,l,1806
1,l,1915
1,l,2024
1,l,2134
1,l,2243
1,l,2353
1,l,2462
1,l,2571
1,l,2681
1,l,2790
1,l,2899
1,l,3009
1,l,3118
1,l,3228
1,l,3337
1,l,3446
1,l,1778
1,l,1833
1,l,1888
1,l,1942
1,l,1997
1,l,2052
1,l,2106
1,l,2161
1,l,2216
1,l,2271
1,l,2325
1,l,2380
1,l,2435
1,l,2489
1,l,2544
1,l,2599
1,l,2653
1,l,2708
1,l,2763
1,l,2817
1,l,2872
1,l,2927
1,l,2981
1,l,3036
1,l,3091
1,l,3146
1,l,3200
1,l,3255
1,l,3310
1,l,3364
1,l,3419
1,l,3474
1,l,1765
1,l,1792
1,l,1819
1,l,1847
1,l,1874
1,l,1901
1,l,1929
1,l,1956
1,l,1983
1,l,2011
1,l,2038
1,l,2065
1,l,2093
1,l,2120
1,l,2147
1,l,2175
1,l,2202
1,l,2230
1,l,2257
1,l,2284
1,l,2312
1,l,2339
1,l,2366
1,l,2394
1,l,2421
1,l,2448
1,l,2476
1,l,2503
1,l,2530
1,l,2558
1,l,2585
1,l,2612
1,l,2640
1,l,2667
1,l,2694
1,l,2722
1,l,2749
1,l,2776
1,l,2804
1,l,2831
1,l,2858
1,l,2886
1,l,2913
1,l,2940
1,l,2968
1,l,2995
1,l,3022
1,l,3050
1,l,3077
1,l,3105
1,l,3132
1,l,3159
1,l,3187
1,l,3214
1,l,3241
1,l,3269
1,l,3296
1,l,3323
1,l,3351
1,l,3378
1,l,3405
1,l,3433
1,l,3460
1,l,3487
1,l,1758
1,l,1772
1,l,1785
1,l,1799
1,l,1813
1,l,1826
1,l,1840
1,l,1854
1,l,1867
1,l,1881
1,l,1895
1,l,1908
1,l,1922
1,l,1936
1,l,1949
1,l,1963
1,l,1977
1,l,1990
1,l,2004
1,l,2018
1,l,2031
1,l,2045
1,l,2059
1,l,2072
1,l,2086
1,l,2100
1,l,2113
1,l,2127
1,l,2141
1,l,2154
1,l,2168
1,l,2182
1,l,2195
1,l,2209
1,l,2223
1,l,2236
1,l,2250
1,l,2264
1,l,2277
1,l,2291
1,l,2305
1,l,2318
1,l,2332
1,l,2346
1,l,2359
1,l,2373
1,l,2387
1,l,2400
2,l,2626
2,l,2189
2,l,3064
2,l,1971
2,l,2408
2,l,2845
2,l,3282
2,l,1861
2,l,2080
2,l,2299
2,l,2517
2,l,2736
2,l,2954
2,l,3173
2,l,3392
2,l,1807
2,l,1916
2,l,2025
2,l,2135
2,l,2244
2,l,2353
2,l,2463
2,l,2572
2,l,2681
2,l,2790
2,l,2900
2,l,3009
2,l,3118
2,l,3228
2,l,3337
2,l,3446
2,l,1779
2,l,1834
2,l,1889
2,l,1943
2,l,1998
2,l,2053
2,l,2107
2,l,2162
2,l,2217
2,l,2271
2,l,2326
2,l,2381
2,l,2435
2,l,2490
2,l,2545
2,l,2599
2,l,2654
2,l,2708
2,l,2763
2,l,2818
2,l,2872
2,l,2927
2,l,2982
2,l,3036
2,l,3091
2,l,3146
2,l,3200
2,l,3255
2,l,3310
2,l,3364
2,l,3419
2,l,3474
2,l,1766
2,l,1793
2,l,1820
2,l,1848
2,l,1875
2,l,1902
2,l,1930
2,l,1957
2,l,1984
2,l,2012
2,l,2039
2,l,2066
2,l,2094
2,l,2121
2,l,2148
2,l,2176
2,l,2203
2,l,2230
2,l,2258
2,l,2285
2,l,2312
2,l,2340
2,l,2367
2,l,2394
2,l,2422
2,l,2449
2,l,2476
2,l,2504
2,l,2531
2,l,2558
2,l,2586
2,l,2613
2,l,2640
2,l,2667
